Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),Time (s),X (rad/s),Y (rad/s),Z (rad/s),Time (s),X (µT),Y (µT),Z (µT)
0.887845,-1.383572845,9.88484436,0.5932164001,0.910322,-0.2432103902,-0.3587777019,0.1305596828,0.910322,9.519042969,-44.14857483,-13.79800415
0.897835,-1.408421173,9.864337006,0.2959346008,0.920312,-0.2707845569,-0.3479916453,0.2436351478,0.920312,9.487365723,-44.10771179,-13.87338257
0.907826,-1.590891724,9.997709656,0.2875520325,0.930303,-0.2398450226,-0.3738064766,0.3000954986,0.930303,9.153564453,-43.92683411,-14.17263794
0.917816,-1.794318695,10.04695724,0.4403842163,0.940293,-0.2082953304,-0.3519714773,0.343239665,0.940293,8.94732666,-43.95877075,-14.39402771
0.927807,-2.201022949,10.12734009,0.5855822754,0.950284,-0.1765137017,-0.3201781213,0.4549174607,0.950284,8.700744629,-43.96115112,-14.43560791
0.937797,-1.807191925,9.984686737,1.004561005,0.960274,-0.117994979,-0.2147871405,0.5550621152,0.960274,8.604797363,-44.12062073,-14.60868835
0.947788,-1.978884888,9.878856812,1.006057892,0.970265,-0.05351984873,-0.0408054851,0.6388763189,0.970265,8.449768066,-44.04043579,-14.62644958
0.957778,-2.447410583,10.19934036,0.8577163696,0.980255,0.01391721331,0.1032775491,0.7068627477,0.980255,8.161254883,-44.02415466,-14.92022705
0.967769,-1.986369324,10.49527496,1.069675598,0.990246,0.0882692039,0.1551210433,0.741907537,0.990246,7.87310791,-44.1647644,-15.08137512
0.977759,-1.804497528,10.21191422,1.183439026,1.000236,0.1516982466,0.1712784618,0.7529366612,1.000236,7.462341309,-44.19041443,-14.97737122
0.98775,-1.386267242,9.919272766,1.249002686,1.010227,0.1798934042,0.1757610887,0.7425660491,1.010227,7.051086426,-44.31788635,-14.81077576
0.99774,-0.8433462524,9.807904358,1.252894592,1.020217,0.1755999476,0.1922968775,0.7011193633,1.020217,6.939758301,-44.33363342,-14.78443909
1.007731,-0.3454815674,9.655221863,1.129850464,1.030208,0.1447749287,0.1762920767,0.6233899593,1.030208,6.531616211,-44.31324768,-14.71646118
1.017721,0.1248403931,9.436975708,0.8446934509,1.040198,0.09323661774,0.1028089449,0.5194119215,1.040198,6.360351562,-44.39520264,-14.6452179
1.027712,0.4134402466,9.253607025,0.6352789307,1.050189,0.01909660548,0.03042822145,0.4124471247,1.050189,6.126586914,-44.53405762,-14.6725769
